elapsed_ms,tps,lat_avg_ms,server_lat_avg_ms,event
500,1548.0,3.18,2.00,
1000,1608.0,3.12,1.93,
1501,1620.0,3.10,1.91,
2000,1500.0,3.14,1.96,
2500,1468.0,3.18,2.00,
3000,1438.0,3.22,2.04,
3500,1730.0,3.17,2.04,
4000,1770.0,3.12,2.05,
4500,1624.0,3.11,2.05,
5000,1550.0,3.12,2.05,
5500,1664.0,3.10,2.03,
6000,1620.0,3.10,2.02,
6500,1466.0,3.12,2.04,
7000,1596.0,3.12,2.03,
7500,1478.0,3.13,2.03,
8000,1448.0,3.15,2.04,
8500,1412.0,3.17,2.05,
9000,1454.0,3.18,2.05,
9500,1420.0,3.19,2.06,
10000,1610.0,3.19,2.06,
10500,1574.0,3.18,2.06,
11000,1348.0,3.18,2.05,
11500,640.0,3.29,2.16,
12000,1440.0,3.29,2.16,
12500,1458.0,3.30,2.16,
13000,1486.0,3.30,2.16,
13500,1426.0,3.30,2.17,
14000,1516.0,3.30,2.17,
14500,1508.0,3.30,2.16,
15000,1478.0,3.30,2.16,
15500,1514.0,3.30,2.16,
16000,1464.0,3.30,2.16,
16500,1468.0,3.31,2.16,
17000,1514.0,3.30,2.16,
17501,1540.0,3.30,2.15,
18001,1506.0,3.30,2.15,
18500,1554.0,3.30,2.15,
19000,1444.0,3.30,2.15,
19501,1460.0,3.30,2.16,
20000,1616.0,3.30,2.15,
20500,1596.0,3.29,2.15,
21000,1616.0,3.28,2.14,
21500,1514.0,3.28,2.14,
22000,1564.0,3.28,2.14,
22500,1558.0,3.28,2.13,
23000,1526.0,3.28,2.13,
23500,1546.0,3.28,2.13,
24000,1498.0,3.28,2.13,
24500,1510.0,3.28,2.13,
25000,1534.0,3.27,2.13,
25500,1492.0,3.27,2.13,
26000,1534.0,3.27,2.12,
26500,1472.0,3.28,2.13,
27000,1520.0,3.27,2.12,
27500,1416.0,3.28,2.13,
28000,1494.0,3.28,2.13,
28500,1620.0,3.27,2.12,
29000,1604.0,3.27,2.12,
29500,1556.0,3.27,2.12,
30000,1638.0,3.27,2.12,
30500,1598.0,3.26,2.12,
31000,1616.0,3.26,2.11,
31500,1664.0,3.25,2.11,
32000,1714.0,3.25,2.10,
32500,1644.0,3.24,2.10,
33000,1612.0,3.24,2.10,
33500,1608.0,3.24,2.09,
34000,1636.0,3.23,2.09,
34500,1674.0,3.23,2.09,
35000,1666.0,3.23,2.09,
35500,1588.0,3.22,2.08,
36000,1580.0,3.22,2.08,
36500,1422.0,3.23,2.08,
37000,1668.0,3.22,2.08,
37500,1516.0,3.22,2.08,
38000,1504.0,3.22,2.08,
38500,1536.0,3.22,2.08,
39000,1404.0,3.23,2.08,
39500,1520.0,3.23,2.08,
40000,1500.0,3.23,2.08,
40500,1548.0,3.23,2.08,
41000,1552.0,3.23,2.08,
41500,1628.0,3.22,2.07,
42000,1544.0,3.22,2.07,
42500,1662.0,3.22,2.07,
43000,1526.0,3.22,2.07,
43500,1556.0,3.22,2.07,
44000,1542.0,3.22,2.07,
44500,1454.0,3.22,2.07,
45000,1208.0,3.23,2.07,
45500,1502.0,3.23,2.07,
46000,1542.0,3.23,2.07,
46500,1592.0,3.23,2.07,
47000,1396.0,3.23,2.07,
47500,1516.0,3.23,2.07,
48000,1488.0,3.23,2.07,
48500,1598.0,3.23,2.07,
49000,1612.0,3.23,2.07,
49500,1578.0,3.23,2.07,
50000,1610.0,3.23,2.07,
50500,1630.0,3.22,2.07,
51000,1632.0,3.22,2.07,
51500,1522.0,3.22,2.07,
52000,1490.0,3.22,2.06,
52500,1592.0,3.22,2.06,
53000,1562.0,3.22,2.06,
53500,1522.0,3.22,2.06,
54000,1670.0,3.22,2.06,
54500,1864.0,3.21,2.06,
55000,1818.0,3.21,2.06,
55500,1750.0,3.20,2.06,
56000,1572.0,3.20,2.05,
56500,1594.0,3.20,2.05,
57000,1622.0,3.20,2.05,
57500,1452.0,3.20,2.05,
58000,1536.0,3.20,2.05,
58500,1558.0,3.20,2.05,
59000,1534.0,3.20,2.05,
59500,1454.0,3.20,2.05,
60000,1388.0,3.20,2.05,
